No,model_number_sku,housing_style,wall_mount,ceiling_mount_single_unit,pole_mount,corner_mount,in-ceiling_mount,parapet_mount,junction_box,dual_junction_box,Adapter and others
40,AVC-NPE81F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",AVM-JB-DUAL-US1,
41,AVC-NPE81F28-B,Turret,AVM-CWM-EV-S1-B,,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S1-B,,
42,AVC-NPE51M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,AVM-JB-DUAL-UL1,
43,AVC-NPE51M-B,Turret,AVM-CWM-EDV-L1-B,,AVM-P-POM-A2,AVM-CRM-A1,,,,,
44,AVC-NPE81M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,AVM-JB-DUAL-UL1,
45,AVC-NPE81M-B,Turret,AVM-CWM-EDV-L1-B,,AVM-P-POM-A2,AVM-CRM-A1,,,,,
46,AVC-NPB51F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,AVM-JB-DUAL-US1,
47,AVC-NPB51F28-B,Bullet,,,,,,,,,
48,AVC-NPB81F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,AVM-JB-DUAL-US1,
49,AVC-NPB51M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",AVM-JB-DUAL-UL1,
50,AVC-NPB51M-B,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",AVM-JB-DUAL-UL1,
51,AVC-NPB51M50,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-L1, AVM-JB-BE-S2",AVM-JB-DUAL-UL1,
52,AVC-NPB81M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-L1, AVM-JB-BE-S2",AVM-JB-DUAL-UL1,
53,AVC-NPV51F28,Vandal Dome,"AVM-CWM-EV-S2, AVM-HWM-V-S1",AVM-HCM-V-S1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-S1,,AVM-JB-V-S1,AVM-JB-DUAL-US1,
